Name,Check
S13-1033,5
S15-18319,5
S15-2702,5
S15-9455,4.8
S15-9518,5
S15-17415,5
S15-17377,5
S15-17461,1
S15-5983,5
S15-10924,5
S15-10570,5
S15-5880,5
S15-7499,5
S15-1744,4.8
S15-17709,5
S15-16891,4.8
S15-1057,5
S15-8311,5
S15-13510,5
S15-13553,5
S15-18840,3
S15-1436,5
S15-17649,4.8
S15-17400,5
S15-11290,5
S16-8156,5
S16-13613,4.8
S16-14687,4.8
S16-15092,5
S16-15190,3.8
S16-8537,4.8
S16-7365,5
S16-14307,3.8
S16-17495,4.8
S15-1035,4.4
S16-14457,5
S16-9876,5
S15-16886,5
S16-14746,5
S16-16311,4.8
S16-11288,5
S16-12287,5
S16-6632,4
S16-6781,4.8
PR17-501,4.3
PR17-507,3.3
PR17-510,3.5
S17-10357,5
S17-13622,1
S17-1160,5
S17-6397,2.4
S17-15921,5
S17-15955,3.6
S17-2615,4
S17-2657,2.7
S17-10841,4.5
S17-19757,5
S17-18437,4.4
S17-6018,2
S17-5611,3.8
CR17-291,3.3
S17-13420,1.5
S17-6130,1.8
S17-6110,1.8
S17-6332,4
S17-8129,4
S17-13562,1
S17-1200,4
S17-6365,1
S17-1828,1
S17-1696,2.5
S17-1727,3
S17-2601,3.5
S17-2625,2.4
S17-7688,5
S17-20152,4.3
S17-10696,4.5
S17-9201,5
S17-5815,4.7
S17-13387,1.3
S17-13412,1
S17-13484,2.8
S17-13468,2.3
S17-6141,1
S17-17766,5
S17-17830,2
S17-13553,2.5
S17-13589,3.3
S17-17240,1
S17-1474,1.3
S17-20242,1.3
S17-5034,4.5
S17-5035,4.8
S17-11056,5
S17-2658,3
S17-4060,3
S17-10748,5
S17-10704,2.3
S17-19735,4.3
S17-6032,1.4
S17-5643,5
S17-5689,4.7
S17-13393,1.3
S17-6163,1.5
S17-6302,1
S17-6311,4.5
S17-17779,4.8
S17-17803,1.3
S17-17817,5
S17-17818,5
S17-17819,4
S14-9051,4.8
S15-10879,5
S16-14608,4.5
S18-4975,5
S18-5023,5
S18-4991,5
S18-5024,5
S18-4940,5
S17-10079,4.5
S17-17797,1
S18-9776,1
S18-9843,1.8
S17-1946,5
S18-6470,5
S18-6346,2.3
S18-6306,3
S18-4884,2.3
S18-7748,2.7
S18-5852,2.8
S18-5801,4.5
S18-1315,4.8
S18-1405,4
S18-1436,5
S18-1042,2.8
S18-1025,5
S18-1098,5
S18-1079,2.3
S18-5360,4.3
S18-5203,5
S18-5105,5
S18-1943,5
S17-13405,1.5
S17-13496,3
S17-6129,1
S18-6092,5
S18-6097,3.8
S17-17612,1
S17-17824,1
S17-1344,2.3
S17-1695,4.3
S17-2243,4.8
S17-5044,5
S16-14730,4.8
S18-5843,2
S18-5884,5
S18-5815,3
S18-1296,5
S18-1071,5
S18-3949,5
S18-5051,5
S18-1837,1
S18-1910,5
S17-5673,5
S18-2212,5
S18-2157,1.8
S18-2195,1
S18-3693,1
S18-7350,1
S17-13455,1.3
S16-14161,5
S16-13165,5
S17-17195,4.3
S17-1931,3
S18-6865,5
S17-2193,5
S18-6328,5
S18-7714,5
S18-5841,4.5
S18-5897,5
S18-5968,4.5
S17-10809,3.8
S18-2175,4.5
S18-3704,5
S18-3722,5
S18-3764,5
S18-3709,3
S18-3660,5
PR17-499,1.8
PR17-506,3.7
CR17-203,1.3
CR17-333,1
CR17-326,5
CR17-324,2.8
CR17-337,3
PR17-171,3
PR17-344,3
CR17-180,2
PR17-476,1
S17-4622,3.5
PR18-194,4
PR18-221,3.3
PR18-190,4.5
S17-19933,5
S17-19948,5
S17-19942,5
S17-20254,1.5
S17-20605,5
S18-10733,1.5
S18-10826,5
S18-10555,5
S18-10560,5
S18-10569,5
S18-11128,5
S18-11051,5
S18-10366,5
CR17-175,3
S17-13415,1
S16-9847,4.8
S17-17644,1
S17-17374,2
S17-5166,3.5
S18-4154,4.5
S18-4210,5
S17-2509,3
S18-6309,1.8
S18-6350,5
S18-6340,5
S17-2066,2
S18-5828,2.5
S18-5797,3.3
S18-6013,1
S18-1307,5
S18-1318,5
S18-1304,1
S18-3869,5
S18-1164,5
S17-5708,4.3
S17-17681,5
S18-9847,3
S17-13612,3.8
S18-6547,3
S18-6610,5
S17-1440,3
S18-5956,2
S18-5980,3
S18-8037,1.8
S18-4321,4.3
S18-1639,1.8
S18-1644,4.8
S18-3772,1.5
S18-3699,5
S18-3656,5
S18-3748,4.3
S18-7433,5
CR17-189,1.5
CR17-172,2.5
PR17-488,1
PR17-481,3.5
PR17-482,3
S18-8478,5
S18-8541,5
S18-8355,5
S17-20780,5
PR18-213,5
PR18-192,4.3
PR18-193,2.3
PR18-201,3.5
PR18-202,5
PR18-206,2.5
PR18-191,3.5
S17-19928,2.5
S17-20281,4
S18-11513,5
S17-17059,5
S17-17048,5
S18-11260,5
S18-11181,5
S18-10557,5
S18-10540,5
S18-10541,5
S18-10542,5
S18-10525,5
S18-10926,5
S18-10951,5
S19-9143,4.8
S19-9306,1.3
S19-9431,5
S19-9726,1.8
S19-9810,5
S19-9846,1
S19-9855,1
S19-9905,3.5
S19-10038,5
S19-10076,5
S19-10081,4.8
S19-10155,5
S19-10185,5
S19-10206,5
S19-10225,4.8
S19-10375,1
S19-10533,3
S19-10599,5
S19-10817,5
S19-11186,1
S19-11254,5
S19-11418,5
S19-11887,4.8
S19-12014,5
S19-12087,5
S19-12232,5
S19-12293,5
S19-12356,4.7
S19-12409,5
S19-12653,3.7
S19-12825,5
S19-12894,1.5
S19-13024,1
S19-13149,5
S19-13272,5
S19-13284,4.5
S19-13524,4
S19-13563,1.7
S19-14336,5
S19-15949,3.3
S19-15968,5
S19-15975,5
S19-16063,4
S19-16069,2.3
S19-16142,4.3
S19-17952,2.5
S19-18127,4.5
S19-18134,1
S19-18241,3.5
S19-18293,2.5
